SR_WL	O2	O3	O4	O5	O6	O7	O8	O9	O10	O11	O12	O16	O17	O18	O21	S5	S6
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
403	1E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	0.000144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	0.005133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	0.101131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
407	0.558197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	0.915256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
409	0.989117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	0.996255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
411	0.998296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
413	0.99764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	0.988514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
415	0.967929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	0.829161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
417	0.391292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	0.048875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
419	0.001827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	4E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
434	0	1E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
435	0	8.8E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
436	0	0.005188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
437	0	0.083985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
438	0	0.513916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439	0	0.916688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440	0	0.987188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441	0	0.995881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442	0	0.998758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
443	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444	0	0.997956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445	0	0.998449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
446	0	0.99368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
447	0	0.890198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
448	0	0.471763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
449	0	0.068418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
450	0	0.003827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
451	0	5.8E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482	0	0	9E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483	0	0	0.000611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
484	0	0	0.023902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
485	0	0	0.27106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
486	0	0	0.746678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
487	0	0	0.9541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
488	0	0	0.972838	0	0	0	0	0	0	0	0	0	0	0	0	0	0
489	0	0	0.976357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
490	0	0	0.980189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
491	0	0	0.986122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
492	0	0	0.994486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
493	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
494	0	0	0.983502	0	0	0	0	0	0	0	0	0	0	0	0	0	0
495	0	0	0.738269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
496	0	0	0.242287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
497	0	0	0.018988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
498	0	0	0.000438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
499	0	0	6E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
502	0	0	0	8E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
503	0	0	0	0.000847	0	0	0	0	0	0	0	0	0	0	0	0	0
504	0	0	0	0.023123	0	0	0	0	0	0	0	0	0	0	0	0	0
505	0	0	0	0.265739	0	0	0	0	0	0	0	0	0	0	0	0	0
506	0	0	0	0.776549	0	0	0	0	0	0	0	0	0	0	0	0	0
507	0	0	0	0.952789	0	0	0	0	0	0	0	0	0	0	0	0	0
508	0	0	0	0.975206	0	0	0	0	0	0	0	0	0	0	0	0	0
509	0	0	0	0.981351	0	0	0	0	0	0	0	0	0	0	0	0	0
510	0	0	0	0.988215	0	0	0	0	0	0	0	0	0	0	0	0	0
511	0	0	0	0.99382	0	0	0	0	0	0	0	0	0	0	0	0	0
512	0	0	0	0.996915	0	0	0	0	0	0	0	0	0	0	0	0	0
513	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
514	0	0	0	0.973892	0	0	0	0	0	0	0	0	0	0	0	0	0
515	0	0	0	0.733401	0	0	0	0	0	0	0	0	0	0	0	0	0
516	0	0	0	0.200628	0	0	0	0	0	0	0	0	0	0	0	0	0
517	0	0	0	0.018559	0	0	0	0	0	0	0	0	0	0	0	0	0
518	0	0	0	0.000423	0	0	0	0	0	0	0	0	0	0	0	0	0
519	0	0	0	3E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
552	0	0	0	0	8E-06	0	0	0	0	0	0	0	0	0	0	0	0
553	0	0	0	0	0.000858	0	0	0	0	0	0	0	0	0	0	0	0
554	0	0	0	0	0.023838	0	0	0	0	0	0	0	0	0	0	0	0
555	0	0	0	0	0.275414	0	0	0	0	0	0	0	0	0	0	0	0
556	0	0	0	0	0.798993	0	0	0	0	0	0	0	0	0	0	0	0
557	0	0	0	0	0.971896	0	0	0	0	0	0	0	0	0	0	0	0
558	0	0	0	0	0.989714	0	0	0	0	0	0	0	0	0	0	0	0
559	0	0	0	0	0.992394	0	0	0	0	0	0	0	0	0	0	0	0
560	0	0	0	0	0.99533	0	0	0	0	0	0	0	0	0	0	0	0
561	0	0	0	0	0.997769	0	0	0	0	0	0	0	0	0	0	0	0
562	0	0	0	0	0.998999	0	0	0	0	0	0	0	0	0	0	0	0
563	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
564	0	0	0	0	0.98084	0	0	0	0	0	0	0	0	0	0	0	0
565	0	0	0	0	0.735805	0	0	0	0	0	0	0	0	0	0	0	0
566	0	0	0	0	0.200826	0	0	0	0	0	0	0	0	0	0	0	0
567	0	0	0	0	0.018344	0	0	0	0	0	0	0	0	0	0	0	0
568	0	0	0	0	0.000408	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	5E-06	0	0	0	0	0	0	0	0	0	0	0	0
570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612	0	0	0	0	0	7E-06	0	0	0	0	0	0	0	0	0	0	0
613	0	0	0	0	0	0.000784	0	0	0	0	0	0	0	0	0	0	0
614	0	0	0	0	0	0.029317	0	0	0	0	0	0	0	0	0	0	0
615	0	0	0	0	0	0.264044	0	0	0	0	0	0	0	0	0	0	0
616	0	0	0	0	0	0.786607	0	0	0	0	0	0	0	0	0	0	0
617	0	0	0	0	0	0.96754	0	0	0	0	0	0	0	0	0	0	0
618	0	0	0	0	0	0.981388	0	0	0	0	0	0	0	0	0	0	0
619	0	0	0	0	0	0.98507	0	0	0	0	0	0	0	0	0	0	0
620	0	0	0	0	0	0.989438	0	0	0	0	0	0	0	0	0	0	0
621	0	0	0	0	0	0.99414	0	0	0	0	0	0	0	0	0	0	0
622	0	0	0	0	0	0.998443	0	0	0	0	0	0	0	0	0	0	0
623	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
624	0	0	0	0	0	0.973784	0	0	0	0	0	0	0	0	0	0	0
625	0	0	0	0	0	0.684719	0	0	0	0	0	0	0	0	0	0	0
626	0	0	0	0	0	0.193675	0	0	0	0	0	0	0	0	0	0	0
627	0	0	0	0	0	0.012714	0	0	0	0	0	0	0	0	0	0	0
628	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
629	0	0	0	0	0	3E-06	0	0	0	0	0	0	0	0	0	0	0
630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
