,DATE,LAI,TA_F,SW_IN_F,LE,H,LE_C,H_C,ET
0,2019-01-01,0.8778225806451614,277.76997916666664,146.145,60.07403,-17.901564,53.22055,-2.0382643,2.0846452075903614
1,2019-01-02,0.8818548387096775,277.15675,141.72291666666666,58.2917,-11.199122,51.606216,0.51664096,2.021594642096641
2,2019-01-03,0.8864919354838712,276.5638333333333,148.90666666666667,60.508358,-10.566204,55.12154,2.3166308,2.0972771286604117
3,2019-01-04,0.8917338709677423,276.39425,151.34895833333334,62.12631,-11.867756,56.02244,2.5761402,2.1530090026796374
4,2019-01-05,0.8969292803970225,276.263625,152.17833333333334,60.981354,-17.972124,54.64127,-1.4597474,2.113067946897034
5,2019-01-06,0.9020781637717125,276.3468958333333,149.27645833333335,60.432022,-12.347679,54.666363,0.015742937,2.0941986278950577
6,2019-01-07,0.9071805210918115,276.2253125,150.171875,59.1141,-13.686897,54.738926,-0.36482003,2.048291246404045
7,2019-01-08,0.9122363523573199,275.24129166666665,150.73145833333334,57.436604,-6.9178185,52.649654,5.4734325,1.9883263852982014
8,2019-01-09,0.9172456575682384,273.06391666666667,155.475,42.818073,2.266585,40.89728,15.889476,1.4793246060408138
9,2019-01-10,0.9222084367245659,273.8850833333333,155.30729166666666,54.97948,-8.037106,51.02479,5.733587,1.9008941822038492
10,2019-01-11,0.9273263027295288,275.278375,158.59416666666667,60.535675,-10.013595,56.780685,2.1188304,2.0956817045676135
11,2019-01-12,0.9325992555831268,277.7499583333333,153.37229166666665,62.947437,-10.931632,59.533855,0.589428,2.184313450576335
12,2019-01-13,0.93802729528536,277.1525625,138.51270833333334,53.60963,-11.90589,49.492966,-1.9054724,1.8592099296155753
13,2019-01-14,0.9436104218362282,276.52385416666664,39.8125,9.312333,-13.571515,4.283222,-10.051751,0.3227619997560625
14,2019-01-15,0.9493486352357324,278.3067708333333,81.16270833333333,25.961952,-1.3690785,21.266016,-1.9832987,0.9013858127344153
15,2019-01-16,0.9552419354838712,277.3967916666666,119.68624999999999,38.011078,-4.9361877,32.77149,1.7383083,1.318554939284332
16,2019-01-17,0.9612903225806452,278.37312499999996,94.57645833333333,31.344759,0.16127641,25.694534,1.9004894,1.0883451066607257
17,2019-01-18,0.9677419354838707,281.13420833333333,34.706250000000004,10.493231,-16.270124,2.8842335,-10.269933,0.36535543438496654
18,2019-01-19,0.974193548387097,277.38960416666663,114.83083333333333,42.250515,-3.8245142,33.807137,3.1517112,1.4656053149428225
19,2019-01-20,0.9806451612903228,276.56972916666666,96.94729166666667,30.617224,4.633202,23.69625,4.3440037,1.0612280088019685
20,2019-01-21,0.9870967741935482,283.0897708333333,68.65979166666666,23.39441,-16.641716,15.022252,-7.99171,0.8162087115152729
21,2019-01-22,0.9935483870967744,283.8565833333333,89.996875,27.637857,-3.6620872,20.463995,1.0480808,0.9650416716634848
22,2019-01-23,1.0,281.74966666666666,151.25312499999998,54.64307,2.9019158,50.355865,5.9124928,1.9037797610906542
23,2019-01-24,1.006451612903226,279.91081249999996,169.98708333333335,69.78917,0.40151453,65.73444,6.5474935,2.426914099843456
24,2019-01-25,1.0129032258064516,279.79193749999996,132.77145833333333,56.579998,-5.772451,47.56371,0.36777684,1.9673306384970475
25,2019-01-26,1.0191532258064515,279.03666666666663,157.11104166666667,62.12297,8.958902,55.527298,11.965362,2.158434038939806
26,2019-01-27,1.0264112903225808,282.38654166666663,89.68895833333333,32.79201,-4.031864,25.167908,-1.305344,1.1432389485131873
27,2019-01-28,1.0346774193548387,283.74829166666666,126.015625,44.28894,3.0252306,36.711872,4.2683334,1.5462758862451607
28,2019-01-29,1.0439516129032258,284.91293749999994,54.609375,18.66327,-6.183037,7.1324964,-3.8156211,0.6524103492049255
29,2019-01-30,1.054233870967742,283.9768125,123.395,41.981876,6.8772855,33.003124,9.161311,1.4660849507169933
30,2019-01-31,1.0655241935483877,280.51843749999995,107.49104166666666,41.0808,-12.329251,31.323286,-5.8995824,1.4294607504915244
31,2019-02-01,1.0778225806451611,276.2437708333333,183.2747916666667,48.89656,18.547693,44.57686,23.894432,1.694285259222701
32,2019-02-02,1.0911290322580645,276.52722916666664,183.08833333333334,58.624924,16.729158,53.22575,18.560003,2.031924575236794
33,2019-02-03,1.105443548387097,279.29806249999996,181.98041666666666,75.95062,-3.8633564,68.32447,4.5847564,2.639556394366786
34,2019-02-04,1.119959677419355,281.5150208333333,180.23583333333332,80.87144,-7.1286693,70.66878,0.3973038,2.8169007432299673
35,2019-02-05,1.1346774193548388,280.70099999999996,177.77583333333334,78.19284,-6.1520514,67.630165,0.20085351,2.7213288448794604
36,2019-02-06,1.1495967741935489,281.0411458333333,185.11687500000002,82.521194,-7.0240593,72.538376,0.12139976,2.8729656746862537
37,2019-02-07,1.1647177419354842,280.3923333333333,178.970625,75.375,-0.3429656,66.712135,4.475717,2.622437052311382
38,2019-02-08,1.1800403225806455,279.51370833333334,73.94229166666666,24.206266,-2.9279625,16.068583,-2.97626,0.8414358581600774
39,2019-02-09,1.1955645161290325,283.49022916666667,119.57958333333333,43.667522,1.0759416,35.325268,1.7697906,1.5241628468524746
40,2019-02-10,1.2112903225806455,283.04664583333334,158.7175,71.506874,-10.604463,58.23676,-3.6361933,2.4946936145133307
41,2019-02-11,1.2270161290322588,284.5162291666666,195.82895833333336,82.88772,-14.55881,72.90827,-3.5679119,2.8962627563013252
42,2019-02-12,1.242741935483871,285.35162499999996,201.59770833333334,83.89326,-20.498976,71.19569,-9.267155,2.934040559966238
43,2019-02-13,1.2584677419354835,284.76166666666666,197.3997916666667,76.841255,-13.644019,66.86922,-8.392364,2.6856954482805815
44,2019-02-14,1.2741935483870968,283.49358333333333,171.655,57.6353,-6.676996,43.972515,-3.400795,2.0116986162762234
45,2019-02-15,1.2899193548387096,283.06818749999996,201.5079166666667,73.5961,-9.655262,61.701694,-3.4784305,2.567639641754611
46,2019-02-16,1.3056451612903228,283.8504583333333,143.909375,47.31941,-17.349066,31.46665,-10.148111,1.652259171629696
47,2019-02-17,1.3213709677419356,282.9086875,164.51395833333333,63.297268,-6.2396693,50.507996,-5.179822,2.2079608659507586
48,2019-02-18,1.3370967741935484,282.7930416666666,184.33624999999998,68.04086,-3.8242834,53.017086,-1.8777717,2.3731406891822173
49,2019-02-19,1.353225806451613,284.11443749999995,198.54416666666668,81.97637,-12.421227,67.26554,-4.6590133,2.8631870950458107
50,2019-02-20,1.3677419354838711,283.04979166666664,203.54929166666668,81.54673,0.31442562,66.333885,3.4348803,2.844968166324989
51,2019-02-21,1.3806451612903228,282.1056458333333,178.45860416666665,79.07458,-0.30065164,54.43965,2.507942,2.75599732371146
52,2019-02-22,1.3919354838709677,284.80362499999995,182.49489583333335,80.562996,3.127784,59.08151,4.7237635,2.8159020013475833
53,2019-02-23,1.401612903225806,285.409375,186.436,73.332634,12.876137,52.200512,12.808728,2.5648592596988475
54,2019-02-24,1.409677419354839,285.67425,202.8144583333333,55.915756,-12.223733,31.314175,-2.2918313,1.9562549221606664
55,2019-02-25,1.4161290322580646,284.19981249999995,206.24554166666667,,,,,
56,2019-02-26,1.4209677419354838,283.7990625,212.25827083333334,,,,,
57,2019-02-27,1.4229838709677425,283.98774999999995,214.66616666666667,,,,,
58,2019-02-28,1.4245967741935486,284.34262499999994,211.58066666666664,,,,,
59,2019-03-01,1.4258064516129032,284.9367291666667,165.41139583333333,,,,,
60,2019-03-02,1.4266129032258068,284.2626458333333,206.77472916666667,,,,,
61,2019-03-03,1.4270161290322585,286.21947916666664,218.49325,,,,,
62,2019-03-04,1.427016129032258,285.34712499999995,213.23668750000002,,,,,
63,2019-03-05,1.4266129032258066,282.0427291666667,170.66797916666667,,,,,
64,2019-03-06,1.4258064516129034,282.32491666666664,76.97433333333333,,,,,
65,2019-03-07,1.4254032258064513,283.88206249999996,205.67308333333332,,,,,
66,2019-03-08,1.4237903225806452,285.77779166666664,208.8088958333333,,,,,
67,2019-03-09,1.420967741935484,287.38906249999997,197.61920833333332,,,,,
68,2019-03-10,1.416935483870968,289.79862499999996,231.28814583333335,,,,,
69,2019-03-11,1.4116935483870972,286.0150208333333,234.5714375,,,,,
70,2019-03-12,1.405241935483871,283.30118749999997,234.358625,,,,,
71,2019-03-13,1.3975806451612902,285.2037291666666,141.62810416666667,,,,,
72,2019-03-14,1.388709677419355,287.21997916666663,246.93550000000002,,,,,
73,2019-03-15,1.3786290322580648,285.8753958333333,250.00410416666668,,,,,
74,2019-03-16,1.368548387096774,285.0061458333333,249.570125,,,,,
75,2019-03-17,1.358467741935484,283.4134583333333,247.94347916666666,,,,,
76,2019-03-18,1.3483870967741938,285.0583125,221.83779166666667,,,,,
77,2019-03-19,1.3383064516129035,285.5901666666667,202.28185416666668,,,,,
78,2019-03-20,1.3282258064516133,284.16968749999995,187.45258333333334,,,,,
79,2019-03-21,1.3181451612903228,283.1758333333333,233.82870833333334,,,,,
80,2019-03-22,1.3080645161290323,284.2119583333333,239.8748125,,,,,
81,2019-03-23,1.3,283.5825208333333,201.36458333333334,,,,,
82,2019-03-24,1.292943548387097,285.4548541666666,177.99166666666667,80.35956,-8.571217,45.926193,-11.475372,2.8107694664533693
83,2019-03-25,1.2868951612903223,287.7891041666666,246.21072916666665,86.7254,-13.373344,51.424072,-11.404416,3.041232911570983
84,2019-03-26,1.2818548387096778,287.36547916666666,252.57158333333334,75.38155,-2.6033547,45.8364,-7.7059956,2.6421880234890582
85,2019-03-27,1.2778225806451613,286.73527083333335,280.95875,66.25269,13.58933,41.02316,2.6460571,2.3205954947093517
86,2019-03-28,1.274798387096774,286.0252708333333,283.55958333333336,65.02054,16.71352,38.627014,6.9206223,2.27566359544861
87,2019-03-29,1.2727822580645165,285.35379166666667,249.90625,62.649216,10.793088,41.96713,1.1140852,2.1910672909384115
88,2019-03-30,1.2717741935483873,288.4973333333333,266.5733333333333,69.903656,17.829645,44.560944,2.056351,2.4532831740451924
89,2019-03-31,1.2693548387096771,284.78485416666666,72.064375,15.644361,5.704588,13.745683,0.8555584,0.5468030998636896
90,2019-04-01,1.2655241935483874,285.5345625,175.965,68.45432,-0.98137194,33.896984,-3.1083527,2.394562391461606
91,2019-04-02,1.2602822580645163,287.57895833333333,254.58041666666668,90.583496,11.249348,53.31841,6.326267,3.1757825414612713
92,2019-04-03,1.2536290322580643,286.82860416666665,285.7452083333333,87.602844,15.446851,50.00676,5.717882,3.068730921990415
93,2019-04-04,1.2455645161290323,285.137,290.3439583333333,70.10968,24.888918,40.00208,12.144916,2.451411005871673
94,2019-04-05,1.2360887096774194,281.7590833333333,90.16089583333333,9.158085,5.7079983,8.706013,4.43696,0.31907333131609267
95,2019-04-06,1.225201612903226,281.4215208333333,145.90229166666668,50.054543,8.246484,27.36931,1.1609391,1.743323748136607
96,2019-04-07,1.2129032258064516,283.69279166666666,166.024375,66.88714,5.506123,33.14833,1.7332797,2.335117344784135
97,2019-04-08,1.2008064516129031,285.74325,130.54625000000001,51.991352,4.083222,31.653786,0.68234235,1.8190933332644772
98,2019-04-09,1.1895161290322582,284.74304166666667,203.19145833333334,68.09846,14.090905,35.143734,7.185347,2.3800763150139206
99,2019-04-10,1.1790322580645165,283.4788333333333,201.12470833333336,0.0,-30.159395,0.0,-17.53029,0.0
100,2019-04-11,1.1693548387096775,283.84441666666663,256.03545833333334,0.9351229,-40.230267,0.76825416,-23.422733,0.032651622693048964
101,2019-04-12,1.1604838709677423,284.57691666666665,312.122,121.15325,-15.783183,51.033394,-10.432003,4.233612825464347
102,2019-04-13,1.1524193548387098,285.992625,326.49583333333334,44.39271,-7.5366073,28.831457,4.1627474,1.5536517667760923
103,2019-04-14,1.145161290322581,288.56079166666666,302.98577083333333,105.24967,-7.5487833,48.22128,-7.865519,3.6940224834004804
104,2019-04-15,1.138709677419355,291.70293749999996,228.67291666666665,90.95471,-19.776564,48.39555,-15.350139,3.203797333883774
105,2019-04-16,1.1318548387096774,291.6313125,300.1716666666667,105.38387,-6.126222,56.281345,-13.209128,3.71174250229261
